,man,woman,probability,Sum,Count,Score
19,Cam,Victoria,[0.3],0.3,1,0.3
97,Tyler,Tori,[0.3],0.3,1,0.3
86,Stephen,Nicole,[0.3],0.3,1,0.3
26,Cameron,Mikala,[0.3],0.3,1,0.3
35,Giovanni,Kaylen,[0.3],0.3,1,0.3
54,Morgan,Julia,[0.3],0.3,1,0.3
3,Asaf,Francesca,[0.3],0.3,1,0.3
42,John,Emma,[0.3],0.3,1,0.3
61,Prosper,Camille,[0.3],0.3,1,0.3
69,Sam,Alyssa,[0.3],0.3,1,0.3
9,Asaf,Victoria,[],0.0,0,0.0
29,Cameron,Victoria,[],0.0,0,0.0
39,Giovanni,Victoria,[],0.0,0,0.0
49,John,Victoria,[],0.0,0,0.0
59,Morgan,Victoria,[],0.0,0,0.0
68,Prosper,Victoria,[],0.0,0,0.0
78,Sam,Victoria,[],0.0,0,0.0
88,Stephen,Victoria,[],0.0,0,0.0
98,Tyler,Victoria,[],0.0,0,0.0
8,Asaf,Tori,[],0.0,0,0.0
18,Cam,Tori,[],0.0,0,0.0
28,Cameron,Tori,[],0.0,0,0.0
38,Giovanni,Tori,[],0.0,0,0.0
48,John,Tori,[],0.0,0,0.0
58,Morgan,Tori,[],0.0,0,0.0
77,Sam,Tori,[],0.0,0,0.0
87,Stephen,Tori,[],0.0,0,0.0
7,Asaf,Nicole,[],0.0,0,0.0
17,Cam,Nicole,[],0.0,0,0.0
27,Cameron,Nicole,[],0.0,0,0.0
37,Giovanni,Nicole,[],0.0,0,0.0
47,John,Nicole,[],0.0,0,0.0
57,Morgan,Nicole,[],0.0,0,0.0
67,Prosper,Nicole,[],0.0,0,0.0
76,Sam,Nicole,[],0.0,0,0.0
96,Tyler,Nicole,[],0.0,0,0.0
6,Asaf,Mikala,[],0.0,0,0.0
16,Cam,Mikala,[],0.0,0,0.0
36,Giovanni,Mikala,[],0.0,0,0.0
46,John,Mikala,[],0.0,0,0.0
56,Morgan,Mikala,[],0.0,0,0.0
66,Prosper,Mikala,[],0.0,0,0.0
75,Sam,Mikala,[],0.0,0,0.0
85,Stephen,Mikala,[],0.0,0,0.0
95,Tyler,Mikala,[],0.0,0,0.0
5,Asaf,Kaylen,[],0.0,0,0.0
15,Cam,Kaylen,[],0.0,0,0.0
25,Cameron,Kaylen,[],0.0,0,0.0
45,John,Kaylen,[],0.0,0,0.0
55,Morgan,Kaylen,[],0.0,0,0.0
65,Prosper,Kaylen,[],0.0,0,0.0
74,Sam,Kaylen,[],0.0,0,0.0
84,Stephen,Kaylen,[],0.0,0,0.0
94,Tyler,Kaylen,[],0.0,0,0.0
4,Asaf,Julia,[],0.0,0,0.0
14,Cam,Julia,[],0.0,0,0.0
24,Cameron,Julia,[],0.0,0,0.0
34,Giovanni,Julia,[],0.0,0,0.0
44,John,Julia,[],0.0,0,0.0
64,Prosper,Julia,[],0.0,0,0.0
73,Sam,Julia,[],0.0,0,0.0
83,Stephen,Julia,[],0.0,0,0.0
93,Tyler,Julia,[],0.0,0,0.0
13,Cam,Francesca,[],0.0,0,0.0
23,Cameron,Francesca,[],0.0,0,0.0
33,Giovanni,Francesca,[],0.0,0,0.0
43,John,Francesca,[],0.0,0,0.0
53,Morgan,Francesca,[],0.0,0,0.0
63,Prosper,Francesca,[],0.0,0,0.0
72,Sam,Francesca,[],0.0,0,0.0
82,Stephen,Francesca,[],0.0,0,0.0
92,Tyler,Francesca,[],0.0,0,0.0
2,Asaf,Emma,[],0.0,0,0.0
12,Cam,Emma,[],0.0,0,0.0
22,Cameron,Emma,[],0.0,0,0.0
32,Giovanni,Emma,[],0.0,0,0.0
52,Morgan,Emma,[],0.0,0,0.0
62,Prosper,Emma,[],0.0,0,0.0
71,Sam,Emma,[],0.0,0,0.0
81,Stephen,Emma,[],0.0,0,0.0
91,Tyler,Emma,[],0.0,0,0.0
1,Asaf,Camille,[],0.0,0,0.0
11,Cam,Camille,[],0.0,0,0.0
21,Cameron,Camille,[],0.0,0,0.0
31,Giovanni,Camille,[],0.0,0,0.0
41,John,Camille,[],0.0,0,0.0
51,Morgan,Camille,[],0.0,0,0.0
70,Sam,Camille,[],0.0,0,0.0
80,Stephen,Camille,[],0.0,0,0.0
90,Tyler,Camille,[],0.0,0,0.0
0,Asaf,Alyssa,[],0.0,0,0.0
10,Cam,Alyssa,[],0.0,0,0.0
20,Cameron,Alyssa,[],0.0,0,0.0
30,Giovanni,Alyssa,[],0.0,0,0.0
40,John,Alyssa,[],0.0,0,0.0
50,Morgan,Alyssa,[],0.0,0,0.0
60,Prosper,Alyssa,[],0.0,0,0.0
79,Stephen,Alyssa,[],0.0,0,0.0
89,Tyler,Alyssa,[],0.0,0,0.0
